name,Service,address,Phone,Website,Category,zip_code,latitude,longitude,access,public_access_hours_open,public_access_hours_close,public_access_days,preference_code
Compass Family Services,Family Access Point at Main Office,"37 Grove Street            San Francisco, CA    94102",(415) 644-0151,http://www.compass-sf.org/,Shelter,94102,37.7784791,-122.4157566,,,,,"1,2,4,5"
San Francisco Department Of Homelessness And Supportive Housing (HSH),Adult Temporary Shelter Reservation Waitlist at Main Office,"440 Turk Street            San Francisco, CA    94102",(628) 652-7700,http://hsh.sfgov.org/,Shelter,94102,37.7826109,-122.4165159,,,,,"1,2,3,5,6"
"Catholic Charities San Francisco, Marin, And San Mateo",Saint Joseph’S Family Center at Main Office,"990 Eddy Street            San Francisco, CA    94109",(415) 972-1200,http://www.catholiccharitiessf.org/,Shelter,94109,37.78270759999999,-122.4239634,,,,,"1,2,3,5,6"
Hamilton Families,Emergency Shelter Program at Emergency Shelter Site,"260 Golden Gate Avenue            San Francisco, CA    94102",(415) 321-2612,http://www.hamiltonfamilies.org/,Shelter,94102,37.7819462,-122.4149923,,,,,"4,5,6"
Central City Hospitality House,Shelter Program at Tenderlion Center,"146 Leavenworth Street            San Francisco, CA    94102",(628) 652-7700,http://www.hospitalityhouse.org/,Shelter,94102,37.7825379,-122.4137428,,,,,"1,2,5"
Episcopal Community Services Of San Francisco (ECS),Adult Access Point at Acccess Point Location,"123 10th Street            San Francisco, CA    94103",(415) 487-3300,http://www.ecs-sf.org/,Shelter,94103,37.7751264,-122.4152693,,,,,"2,3,4,6"
Raphael House,Raphael House (HOMELESS SHELTER) at Raphael House,"1065 Sutter Street            San Francisco, CA    94109",(415) 345-7200,http://www.raphaelhouse.org/,Shelter,94109,37.7877887,-122.417747,,,,,"1,2,3"
San Francisco Pretrial Diversion Project,Adult Access Point at Main Office,"1200 Folsom Street            San Francisco, CA    94103",(415) 522-7592,http://www.sfpretrial.org/,Shelter,94103,37.77501549999999,-122.410349,,,,,"5,6"
Swords To Plowshares,Adult Access Point at San Francisco Service Center,"1060 Howard Street            San Francisco, CA    94103",(415) 727-8387,http://www.swords-to-plowshares.org/,Shelter,94103,37.7787775,-122.4087206,,,,,"3,4,6"
Society Of Saint Vincent De Paul San Francisco (SVDP),Adult Coordinated Entry System at Division Circle Navigation Center,"224 South Van Ness Avenue            San Francisco, CA    94103",(415) 597-7960,http://www.svdp-sf.org/,Shelter,94103,37.7695581,-122.4183665,,,,,"1,2,4,6"
Project Open Hand,Meals Wellness Programs at San Francisco Office,"730 Polk Street            San Francisco, CA    94109",(415) 447-2300,http://www.openhand.org/,Food,94109,37.7837744,-122.419207,,,,,"2,3,5"
Saint Anthony Foundation,Dining Room at Satellite Office,"121 Golden Gate Avenue            San Francisco, CA    94102",(415) 241-2600,http://www.stanthonysf.org/,Food,94102,37.7819256,-122.412526,,,,,"1,2,3,6"
San Francisco City Impact,Hospitality Program at Hospitality Hub,"199 Eddy Street            San Francisco, CA    94102",(415) 529-6432,http://www.sfcityimpact.com/,Food,94102,37.7839497,-122.4107461,,,,,3
Martin De Porres House Of Hospitality,Meal Service at Main Office,"225 Potrero Avenue            San Francisco, CA    94103",(415) 552-0240,http://www.martindeporres.org/,Food,94103,37.7666094,-122.4073057,,,,,"3,4,5,6"
Felton Institute,Mother Brown’S Kitchen at Bayview Drop In Center,"2111 Jennings Street            San Francisco, CA    94124",(415) 671-1100,http://www.felton.org/,Food,94124,37.72681190000001,-122.3886269,,,,,"2,4,5"
Lake Merritt United Methodist Church,Lake Lunches at Main Office,"1330 Lakeshore Avenue            Oakland, CA    94606",(510) 465-4793,http://www.lakemerrittumc.org/,Food,94606,37.7990646,-122.2578559,,,,,"1,4,5,6"
Catholic Worker Hospitality House,Dining Room at Saint Bruno Catholic Church,"555 West San Bruno Avenue            San Bruno, CA    94066",(650) 827-0706,http://www.catholicworkerhospitalityhouse.org/,Food,94066,37.631056,-122.4081788,,,,,"2,3,4,6"
